Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,Logistic Regression,Logistic Regression (Bad),Logistic Regression (Good)
Female,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1092.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Real Estate,49.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.1342564089220829,0.8657435910779171
Female,No Account,15.0,Existing Paid,Radio/Television,3568.0,< 100 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,54.0,Bank,Rent,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.35614287150726576,0.6438571284927342
Male,< 0 EU,12.0,Existing Paid,Car(New),3651.0,>= 1000 EU,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Good,0.45358243960910294,0.5464175603908971
Male,< 0 EU,24.0,Existing Paid,Business,6568.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,21.0,Stores,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5541761451747849,0.4458238548252151
Male,No Account,15.0,Critical Account,Radio/Television,1829.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,46.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.044627197861832446,0.9553728021381676
Female,< 0 EU,6.0,Critical Account,Car(New),860.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Unknown,39.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.4155280263255354,0.5844719736744646
Female,< 0 EU,36.0,Critical Account,Furniture/Equipment,6229.0,< 100 EU,< 1 Year,> 35%,Co-Applicant,> 7 Years,Unknown,23.0,None,Rent,2 or 3,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.8579907825165033,0.14200921748349668
Male,0 <= ... < 200 EU,24.0,Critical Account,Business,1935.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,31.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.1941270191026061,0.8058729808973939
Male,< 0 EU,15.0,Existing Paid,Car(New),1721.0,< 100 EU,< 1 Year,20% - 25%,None,4 - 7 Years,Real Estate,36.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.5363706936811281,0.46362930631887184
Male,0 <= ... < 200 EU,12.0,Existing Paid,Business,1037.0,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,39.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.1162102405073141,0.8837897594926859
Male,0 <= ... < 200 EU,48.0,Delay Paid,Business,6681.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,38.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.36391897720393085,0.6360810227960692
Male,No Account,24.0,Critical Account,Car(Used),4042.0,Unknown,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,43.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.00701921107624659,0.9929807889237534
Female,< 0 EU,15.0,Existing Paid,Furniture/Equipment,1845.0,< 100 EU,< 1 Year,> 35%,Guarantor,< 1 Year,Savings Agreement/Life Insurance,46.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.3526246604934563,0.6473753395065437
Female,>= 200 EU,10.0,Existing Paid,Furniture/Equipment,1275.0,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.4665579132426938,0.5334420867573062
Male,No Account,12.0,Critical Account,Radio/Television,618.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,56.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.021304045018573636,0.9786959549814264
Male,0 <= ... < 200 EU,18.0,Critical Account,Car(New),1056.0,< 100 EU,>= 7 Years,25% - 35%,Guarantor,4 - 7 Years,Real Estate,30.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.29544740988181006,0.7045525901181899
Female,0 <= ... < 200 EU,36.0,Existing Paid,Radio/Television,4795.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Unknown,30.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Bad,0.6122591004030928,0.3877408995969072
Male,0 <= ... < 200 EU,18.0,Critical Account,Furniture/Equipment,1928.0,< 100 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Real Estate,31.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Bad,Good,0.16811592455818725,0.8318840754418128
Female,>= 200 EU,9.0,Existing Paid,Radio/Television,745.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,28.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.2542671445127188,0.7457328554872812
Female,< 0 EU,24.0,Existing Paid,Radio/Television,1603.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,55.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5502661972479952,0.4497338027520048
Male,0 <= ... < 200 EU,12.0,Existing Paid,Car(Used),2028.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,30.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.10019337044062593,0.8998066295593741
Male,0 <= ... < 200 EU,12.0,Critical Account,Appliances,1424.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.19779272261643965,0.8022072773835603
Female,>= 200 EU,12.0,Delay Paid,Car(New),2247.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,36.0,Stores,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.2934252662616974,0.7065747337383026
Male,No Account,36.0,None Taken,Repairs,2613.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,27.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.3982496481991161,0.6017503518008839
Male,No Account,6.0,Existing Paid,Repairs,660.0,500 <= ... < 1000 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,23.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.030432128201088315,0.9695678717989117
Female,No Account,21.0,None Taken,Car(New),5003.0,Unknown,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,29.0,Bank,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.22704176475973814,0.7729582352402619
Female,< 0 EU,18.0,Delay Paid,Education,8471.0,Unknown,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Car or Other,23.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Bad,0.5241534398626949,0.4758465601373051
Female,0 <= ... < 200 EU,8.0,Existing Paid,Radio/Television,760.0,< 100 EU,4 <= ... < 7 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,44.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.10201883704232251,0.8979811629576775
Male,No Account,60.0,Critical Account,Car(New),13756.0,Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,63.0,Bank,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.18986062684903726,0.8101393731509627
Female,>= 200 EU,10.0,Existing Paid,Car(New),1240.0,100 <= ... < 500 EU,>= 7 Years,< 20%,None,> 7 Years,Unknown,48.0,None,For Free,1,Unskilled Resident,>= 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.525133970750767,0.47486602924923305
Male,< 0 EU,24.0,All Paid,Furniture/Equipment,6872.0,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,55.0,Bank,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.3936147353206716,0.6063852646793284
Female,0 <= ... < 200 EU,12.0,Existing Paid,Furniture/Equipment,983.0,>= 1000 EU,< 1 Year,< 20%,None,> 7 Years,Real Estate,19.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.21775673895228698,0.782243261047713
Male,0 <= ... < 200 EU,27.0,Critical Account,Radio/Television,2520.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,23.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Bad,Good,0.2608577748151717,0.7391422251848283
Female,< 0 EU,18.0,Existing Paid,Furniture/Equipment,1131.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,33.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5619223733954144,0.43807762660458566
Male,< 0 EU,18.0,Existing Paid,Car(New),4380.0,100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Car or Other,35.0,None,Own,1,Unskilled Resident,>= 3,Registered,Yes,Single,Good,Bad,0.5602798045131234,0.4397201954868765
Male,< 0 EU,18.0,Critical Account,Car(New),5302.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,36.0,None,For Free,4 or 5,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.36166758866824233,0.6383324113317577
Female,No Account,12.0,Existing Paid,Furniture/Equipment,763.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Real Estate,26.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.03754458025424201,0.962455419745758
Female,No Account,13.0,Existing Paid,Radio/Television,1409.0,100 <= ... < 500 EU,Unemployed,20% - 25%,None,> 7 Years,Real Estate,64.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.03400092772348684,0.9659990722765132
Male,No Account,18.0,Existing Paid,Furniture/Equipment,2515.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Real Estate,43.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.043868829647833674,0.9561311703521663
Male,No Account,18.0,Critical Account,Radio/Television,1582.0,>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,46.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.030319111356406303,0.9696808886435937
Female,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1282.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,20.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.48255245034822225,0.5174475496517777
Male,< 0 EU,48.0,Existing Paid,Car(Used),4788.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,26.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Bad,0.6276392378536274,0.3723607621463726
Male,0 <= ... < 200 EU,8.0,Existing Paid,Radio/Television,1414.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,33.0,None,Own,1,Skilled Official,< 3,None,No,Single,Good,Good,0.06026025037595062,0.9397397496240494
Female,0 <= ... < 200 EU,24.0,Critical Account,Car(Used),7758.0,>= 1000 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,29.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.24050453118402892,0.7594954688159711
Male,No Account,10.0,Existing Paid,Car(Used),2848.0,100 <= ... < 500 EU,1 <= ... < 4 Years,< 20%,Co-Applicant,1 - 4 Years,Real Estate,32.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Good,0.048596893170283595,0.9514031068297164
Male,No Account,18.0,Existing Paid,Furniture/Equipment,1984.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,47.0,Bank,For Free,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.2996334245924104,0.7003665754075896
Male,< 0 EU,18.0,Existing Paid,Radio/Television,2600.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,65.0,None,For Free,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.5438550123375571,0.45614498766244294
Male,0 <= ... < 200 EU,9.0,Existing Paid,Car(New),276.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,22.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.48602361902622204,0.513976380973778
Male,No Account,24.0,Existing Paid,Radio/Television,2284.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.07956386528700798,0.920436134712992
Female,0 <= ... < 200 EU,12.0,Existing Paid,Furniture/Equipment,951.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,27.0,Bank,Rent,Above 6,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.7801863607225389,0.21981363927746114
Male,No Account,24.0,Critical Account,Radio/Television,2424.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,53.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.035070048744955895,0.9649299512550441
Female,No Account,12.0,Existing Paid,Furniture/Equipment,1123.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,29.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.1489630051277817,0.8510369948722183
Female,< 0 EU,24.0,Existing Paid,Furniture/Equipment,7721.0,Unknown,< 1 Year,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,30.0,None,Own,1,Skilled Official,< 3,Registered,No,Divorced/Separated/Married,Good,Good,0.20890766989179155,0.7910923301082085
Male,0 <= ... < 200 EU,60.0,Existing Paid,Car(New),14027.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Unknown,27.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Bad,0.8958540165149471,0.10414598348505283
Male,No Account,24.0,All Paid,Business,1559.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,40.0,Bank,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.11909740740457131,0.8809025925954287
Male,0 <= ... < 200 EU,8.0,Existing Paid,Business,907.0,< 100 EU,< 1 Year,25% - 35%,None,1 - 4 Years,Real Estate,26.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.3206445357009138,0.6793554642990862
Female,0 <= ... < 200 EU,30.0,Existing Paid,Car(New),2150.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Unknown,24.0,Bank,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8251106458624424,0.17488935413755755
Female,0 <= ... < 200 EU,24.0,All Paid,Education,1837.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,34.0,Bank,For Free,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8107760816241731,0.1892239183758269
Male,< 0 EU,30.0,Existing Paid,Repairs,11998.0,< 100 EU,< 1 Year,< 20%,None,< 1 Year,Unknown,34.0,Bank,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.6616972792567679,0.33830272074323203
Male,< 0 EU,6.0,Existing Paid,Car(New),662.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Real Estate,41.0,None,Own,1,Unskilled Resident,>= 3,Registered,Yes,Single,Good,Good,0.4915450536509206,0.5084549463490794
Male,< 0 EU,12.0,Existing Paid,Radio/Television,709.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,57.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Bad,Good,0.23368719101725022,0.7663128089827498
Male,0 <= ... < 200 EU,10.0,Existing Paid,Car(New),7308.0,< 100 EU,Unemployed,20% - 25%,None,> 7 Years,Unknown,70.0,Bank,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.43783587221544307,0.5621641277845569
Male,0 <= ... < 200 EU,18.0,Critical Account,Furniture/Equipment,6361.0,< 100 EU,>= 7 Years,20% - 25%,None,< 1 Year,Unknown,41.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.10368854901887792,0.8963114509811221
Male,0 <= ... < 200 EU,39.0,Critical Account,Radio/Television,4933.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,25.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.09229925936932726,0.9077007406306727
Male,No Account,48.0,Delay Paid,Radio/Television,12749.0,500 <= ... < 1000 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Car or Other,37.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.038975775011013236,0.9610242249889868
Female,No Account,15.0,Existing Paid,Appliances,874.0,Unknown,< 1 Year,> 35%,None,< 1 Year,Real Estate,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.0782097341129322,0.9217902658870678
Male,< 0 EU,48.0,Existing Paid,Car(New),3931.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,46.0,None,For Free,1,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.8512993904335275,0.1487006095664724
Male,No Account,24.0,Critical Account,Repairs,5507.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,44.0,None,For Free,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.2188368776069628,0.7811631223930372
Male,< 0 EU,24.0,Existing Paid,Furniture/Equipment,4020.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,27.0,Stores,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.4447259927314682,0.5552740072685318
Male,0 <= ... < 200 EU,45.0,Critical Account,Radio/Television,4746.0,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,24.0,Bank,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Bad,Bad,0.7168762319391229,0.2831237680608771
Male,< 0 EU,36.0,Critical Account,Furniture/Equipment,5371.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,Guarantor,1 - 4 Years,Savings Agreement/Life Insurance,28.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.3078146847691845,0.6921853152308155
Male,< 0 EU,24.0,Existing Paid,Furniture/Equipment,2996.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,20.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.1567796664655925,0.8432203335344075
Female,< 0 EU,6.0,Critical Account,Car(New),609.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,37.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.4415368987284485,0.5584631012715515
Female,0 <= ... < 200 EU,15.0,Existing Paid,Car(New),2631.0,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,28.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.6111286014942479,0.3888713985057522
Male,0 <= ... < 200 EU,18.0,Existing Paid,Education,1239.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,61.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.2839773956109941,0.7160226043890059
Male,< 0 EU,15.0,Existing Paid,Radio/Television,1053.0,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Real Estate,27.0,None,Own,1,Skilled Official,< 3,None,No,Divorced/Separated/Married,Good,Good,0.28910046647334076,0.7108995335266592
Male,0 <= ... < 200 EU,72.0,Existing Paid,Radio/Television,5595.0,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6315780494024092,0.3684219505975908
Male,< 0 EU,8.0,Critical Account,Car(New),713.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,47.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.277235587078267,0.722764412921733
Female,0 <= ... < 200 EU,6.0,All Paid,Car(New),931.0,100 <= ... < 500 EU,< 1 Year,< 20%,None,< 1 Year,Savings Agreement/Life Insurance,32.0,Stores,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.4236802981365355,0.5763197018634645
Female,< 0 EU,12.0,Critical Account,Car(New),3499.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,Co-Applicant,1 - 4 Years,Real Estate,29.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6520214554873349,0.347978544512665
Male,No Account,24.0,Existing Paid,Car(New),2255.0,Unknown,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,54.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.08122417331289,0.91877582668711
Female,No Account,12.0,Critical Account,Furniture/Equipment,1592.0,>= 1000 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.018996569609828318,0.9810034303901717
Female,No Account,27.0,Existing Paid,Car(New),2570.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Real Estate,21.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5994649376167664,0.4005350623832335
Female,No Account,12.0,Existing Paid,Radio/Television,2073.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,Co-Applicant,1 - 4 Years,Real Estate,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.15449212740240392,0.8455078725975961
Male,0 <= ... < 200 EU,12.0,Existing Paid,Repairs,639.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,30.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.35696603614576927,0.6430339638542307
Male,No Account,7.0,Critical Account,Radio/Television,730.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,46.0,None,Rent,2 or 3,Unskilled Resident,< 3,Registered,Yes,Single,Good,Good,0.03329721404516006,0.9667027859548399
Male,0 <= ... < 200 EU,24.0,Existing Paid,Furniture/Equipment,4057.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,4 - 7 Years,Car or Other,43.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.278605579279513,0.721394420720487
Female,< 0 EU,6.0,Existing Paid,Car(New),1374.0,Unknown,Unemployed,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,75.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.2393735027540157,0.7606264972459843
Female,No Account,24.0,Existing Paid,Car(Used),5433.0,Unknown,Unemployed,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,26.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.040260751324031285,0.9597392486759687
Male,< 0 EU,24.0,Critical Account,Car(Used),6615.0,< 100 EU,Unemployed,20% - 25%,None,> 7 Years,Unknown,75.0,None,For Free,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.08459157145136209,0.9154084285486379
Male,0 <= ... < 200 EU,20.0,None Taken,Car(Used),6148.0,100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,31.0,Bank,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.495415345959608,0.504584654040392
Male,< 0 EU,28.0,Existing Paid,Car(New),4006.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Car or Other,45.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Bad,Bad,0.6933481946194018,0.30665180538059816
Male,< 0 EU,18.0,Existing Paid,Furniture/Equipment,2462.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.34346178474814304,0.656538215251857
Male,No Account,12.0,Critical Account,Radio/Television,717.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,52.0,None,Own,4 or 5,Skilled Official,< 3,None,Yes,Single,Good,Good,0.029929931413259503,0.9700700685867405
Male,No Account,24.0,Critical Account,Radio/Television,2872.0,100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,36.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.04349221932498348,0.9565077806750165
Male,No Account,6.0,Critical Account,Radio/Television,700.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Unknown,36.0,None,For Free,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.04102866795786664,0.9589713320421334
Male,No Account,12.0,Delay Paid,Repairs,1555.0,>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,55.0,None,For Free,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,Good,0.10504159896823739,0.8949584010317626
Male,No Account,6.0,Critical Account,Radio/Television,1740.0,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Real Estate,30.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.07685772374420852,0.9231422762557915
Male,No Account,48.0,Existing Paid,Radio/Television,10222.0,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Car or Other,37.0,Stores,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.13492164629318248,0.8650783537068175
