Account.Balance,Sex,Payment.Status.of.Previous.Credit,Purpose,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Marital.Status,Duration.of.Credit..month.,Credit.Amount,Age..years.,Telephone,Foreign.Worker,Creditability,ID,Random Forest,Random Forest (Bad),Random Forest (Good)
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,3123.0,27.0,None,Yes,Bad,801.0,Bad,0.5333333333333333,0.4666666666666666
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,12.0,1092.0,49.0,Registered,Yes,Good,332.0,Good,0.24333333333333332,0.7566666666666667
No Account,Female,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,Bank,Rent,1,Highly Qualified,< 3,Divorced/Separated/Married,15.0,3568.0,54.0,Registered,Yes,Good,941.0,Good,0.15,0.85
< 0 EU,Male,Existing Paid,Car(New),>= 1000 EU,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,>= 3,Single,12.0,3651.0,31.0,None,Yes,Good,705.0,Good,0.1625,0.8375
< 0 EU,Male,Existing Paid,Business,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,Stores,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,6568.0,21.0,None,Yes,Good,441.0,Good,0.325,0.675
No Account,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,15.0,1829.0,46.0,Registered,Yes,Good,309.0,Good,0.0,1.0
< 0 EU,Female,Critical Account,Car(New),< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Unknown,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,6.0,860.0,39.0,Registered,Yes,Good,220.0,Good,0.2885714285714286,0.7114285714285715
< 0 EU,Female,Critical Account,Furniture/Equipment,< 100 EU,< 1 Year,> 35%,Co-Applicant,> 7 Years,Unknown,None,Rent,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,36.0,6229.0,23.0,Registered,Yes,Bad,668.0,Bad,0.7316666666666667,0.2683333333333333
0 <= ... < 200 EU,Male,Critical Account,Business,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,24.0,1935.0,31.0,Registered,Yes,Bad,282.0,Bad,0.5083333333333333,0.4916666666666667
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,< 1 Year,20% - 25%,None,4 - 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,15.0,1721.0,36.0,None,Yes,Good,195.0,Good,0.11499999999999999,0.885
0 <= ... < 200 EU,Male,Existing Paid,Business,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Single,12.0,1037.0,39.0,None,Yes,Good,221.0,Good,0.22000000000000003,0.78
0 <= ... < 200 EU,Male,Delay Paid,Business,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,>= 3,Single,48.0,6681.0,38.0,Registered,Yes,Good,842.0,Good,0.31,0.6900000000000001
No Account,Male,Critical Account,Car(Used),Unknown,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,24.0,4042.0,43.0,Registered,Yes,Good,506.0,Good,0.0,1.0
< 0 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,> 35%,Guarantor,< 1 Year,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,1845.0,46.0,None,Yes,Good,595.0,Good,0.04285714285714286,0.9571428571428571
>= 200 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,10.0,1275.0,23.0,None,Yes,Good,912.0,Good,0.22916666666666666,0.7708333333333333
No Account,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,12.0,618.0,56.0,None,Yes,Good,286.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,25% - 35%,Guarantor,4 - 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,1056.0,30.0,None,Yes,Bad,233.0,Bad,0.7666666666666666,0.2333333333333333
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Unknown,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,36.0,4795.0,30.0,Registered,Yes,Good,316.0,Good,0.2525,0.7474999999999999
0 <= ... < 200 EU,Male,Critical Account,Furniture/Equipment,< 100 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,< 3,Single,18.0,1928.0,31.0,None,Yes,Bad,315.0,Bad,0.675,0.325
>= 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,9.0,745.0,28.0,None,Yes,Bad,179.0,Good,0.1625,0.8375
< 0 EU,Female,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1603.0,55.0,None,Yes,Good,599.0,Good,0.36,0.64
0 <= ... < 200 EU,Male,Existing Paid,Car(Used),Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,12.0,2028.0,30.0,None,Yes,Good,344.0,Good,0.23333333333333334,0.7666666666666666
0 <= ... < 200 EU,Male,Critical Account,Appliances,< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,12.0,1424.0,26.0,None,Yes,Good,390.0,Good,0.02,0.9800000000000001
>= 200 EU,Female,Delay Paid,Car(New),< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,Stores,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,12.0,2247.0,36.0,Registered,Yes,Good,875.0,Good,0.12,0.8800000000000001
No Account,Male,None Taken,Repairs,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,36.0,2613.0,27.0,None,Yes,Good,881.0,Good,0.17142857142857143,0.8285714285714285
No Account,Male,Existing Paid,Repairs,500 <= ... < 1000 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,660.0,23.0,None,Yes,Good,287.0,Good,0.03333333333333333,0.9666666666666668
No Account,Female,None Taken,Car(New),Unknown,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,21.0,5003.0,29.0,Registered,Yes,Bad,815.0,Bad,0.67,0.32999999999999996
< 0 EU,Female,Delay Paid,Education,Unknown,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,18.0,8471.0,23.0,Registered,Yes,Good,462.0,Good,0.21666666666666665,0.7833333333333333
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,8.0,760.0,44.0,None,Yes,Good,291.0,Good,0.05,0.95
No Account,Male,Critical Account,Car(New),Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,Bank,For Free,1,Highly Qualified,< 3,Single,60.0,13756.0,63.0,Registered,Yes,Good,624.0,Good,0.25,0.75
>= 200 EU,Female,Existing Paid,Car(New),100 <= ... < 500 EU,>= 7 Years,< 20%,None,> 7 Years,Unknown,None,For Free,1,Unskilled Resident,>= 3,Divorced/Separated/Married,10.0,1240.0,48.0,None,Yes,Bad,157.0,Good,0.45666666666666667,0.5433333333333333
< 0 EU,Male,All Paid,Furniture/Equipment,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,Bank,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,6872.0,55.0,Registered,Yes,Bad,879.0,Bad,0.6666666666666666,0.3333333333333333
0 <= ... < 200 EU,Female,Existing Paid,Furniture/Equipment,>= 1000 EU,< 1 Year,< 20%,None,> 7 Years,Real Estate,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,983.0,19.0,None,Yes,Good,906.0,Good,0.21833333333333332,0.7816666666666666
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Unskilled Resident,< 3,Single,27.0,2520.0,23.0,None,Yes,Bad,224.0,Bad,0.8107142857142857,0.18928571428571428
< 0 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1131.0,33.0,None,Yes,Bad,710.0,Bad,0.6864285714285715,0.3135714285714285
< 0 EU,Male,Existing Paid,Car(New),100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Car or Other,None,Own,1,Unskilled Resident,>= 3,Single,18.0,4380.0,35.0,Registered,Yes,Good,450.0,Good,0.25,0.75
< 0 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,None,For Free,4 or 5,Highly Qualified,< 3,Single,18.0,5302.0,36.0,Registered,Yes,Good,296.0,Good,0.20833333333333331,0.7916666666666667
No Account,Female,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,763.0,26.0,Registered,Yes,Good,443.0,Good,0.09142857142857143,0.9085714285714286
No Account,Female,Existing Paid,Radio/Television,100 <= ... < 500 EU,Unemployed,20% - 25%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,13.0,1409.0,64.0,None,Yes,Good,385.0,Good,0.0625,0.9375
No Account,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,18.0,2515.0,43.0,Registered,Yes,Good,371.0,Good,0.1,0.9
No Account,Male,Critical Account,Radio/Television,>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,1582.0,46.0,None,Yes,Good,601.0,Good,0.0,1.0
< 0 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1282.0,20.0,None,Yes,Bad,531.0,Bad,0.5599999999999999,0.44000000000000006
< 0 EU,Male,Existing Paid,Car(Used),< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,>= 3,Single,48.0,4788.0,26.0,None,Yes,Good,283.0,Good,0.31190476190476185,0.688095238095238
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,8.0,1414.0,33.0,None,No,Good,526.0,Good,0.05333333333333333,0.9466666666666667
0 <= ... < 200 EU,Female,Critical Account,Car(Used),>= 1000 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,7758.0,29.0,None,Yes,Good,555.0,Good,0.17833333333333332,0.8216666666666667
No Account,Male,Existing Paid,Car(Used),100 <= ... < 500 EU,1 <= ... < 4 Years,< 20%,Co-Applicant,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,>= 3,Single,10.0,2848.0,32.0,None,Yes,Good,673.0,Good,0.08571428571428572,0.9142857142857143
No Account,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,Bank,For Free,2 or 3,Skilled Official,< 3,Single,18.0,1984.0,47.0,None,Yes,Good,900.0,Good,0.15,0.85
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,< 3,Single,18.0,2600.0,65.0,None,Yes,Bad,577.0,Bad,0.675,0.325
0 <= ... < 200 EU,Male,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,9.0,276.0,22.0,None,Yes,Good,192.0,Good,0.24,0.76
No Account,Male,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,24.0,2284.0,28.0,Registered,Yes,Good,646.0,Good,0.0,1.0
0 <= ... < 200 EU,Female,Existing Paid,Furniture/Equipment,100 <= ... < 500 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,Bank,Rent,Above 6,Skilled Official,< 3,Divorced/Separated/Married,12.0,951.0,27.0,None,Yes,Bad,259.0,Bad,0.73,0.27
No Account,Male,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,24.0,2424.0,53.0,None,Yes,Good,495.0,Good,0.0,1.0
No Account,Female,Existing Paid,Furniture/Equipment,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,1123.0,29.0,None,Yes,Bad,207.0,Bad,0.625,0.375
< 0 EU,Female,Existing Paid,Furniture/Equipment,Unknown,< 1 Year,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,7721.0,30.0,Registered,No,Good,410.0,Good,0.22666666666666666,0.7733333333333332
0 <= ... < 200 EU,Male,Existing Paid,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Unknown,None,Own,1,Highly Qualified,< 3,Single,60.0,14027.0,27.0,Registered,Yes,Bad,630.0,Bad,0.7333333333333334,0.26666666666666666
No Account,Male,All Paid,Business,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,Bank,Own,1,Skilled Official,< 3,Single,24.0,1559.0,40.0,Registered,Yes,Good,776.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Existing Paid,Business,< 100 EU,< 1 Year,25% - 35%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,8.0,907.0,26.0,Registered,Yes,Good,378.0,Good,0.06999999999999999,0.93
0 <= ... < 200 EU,Female,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Unknown,Bank,Own,1,Skilled Official,< 3,Divorced/Separated/Married,30.0,2150.0,24.0,None,Yes,Bad,363.0,Bad,0.8466666666666667,0.15333333333333332
0 <= ... < 200 EU,Female,All Paid,Education,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,Bank,For Free,1,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,1837.0,34.0,None,Yes,Bad,744.0,Bad,1.0,0.0
< 0 EU,Male,Existing Paid,Repairs,< 100 EU,< 1 Year,< 20%,None,< 1 Year,Unknown,Bank,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,30.0,11998.0,34.0,Registered,Yes,Bad,483.0,Bad,0.8375,0.1625
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,>= 3,Single,6.0,662.0,41.0,Registered,Yes,Good,175.0,Good,0.075,0.925
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Single,12.0,709.0,57.0,None,Yes,Bad,931.0,Good,0.43,0.5700000000000001
0 <= ... < 200 EU,Male,Existing Paid,Car(New),< 100 EU,Unemployed,20% - 25%,None,> 7 Years,Unknown,Bank,For Free,1,Highly Qualified,< 3,Single,10.0,7308.0,70.0,Registered,Yes,Good,502.0,Good,0.28,0.72
0 <= ... < 200 EU,Male,Critical Account,Furniture/Equipment,< 100 EU,>= 7 Years,20% - 25%,None,< 1 Year,Unknown,None,Own,1,Skilled Official,< 3,Single,18.0,6361.0,41.0,Registered,Yes,Good,507.0,Good,0.12916666666666665,0.8708333333333332
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,< 100 EU,4 <= ... < 7 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,39.0,4933.0,25.0,None,Yes,Bad,202.0,Bad,0.75,0.25
No Account,Male,Delay Paid,Radio/Television,500 <= ... < 1000 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Car or Other,None,Own,1,Highly Qualified,< 3,Single,48.0,12749.0,37.0,Registered,Yes,Good,482.0,Good,0.05833333333333333,0.9416666666666667
No Account,Female,Existing Paid,Appliances,Unknown,< 1 Year,> 35%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,874.0,24.0,None,Yes,Good,884.0,Good,0.08666666666666667,0.9133333333333334
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,>= 3,Single,48.0,3931.0,46.0,None,Yes,Bad,780.0,Bad,0.9,0.1
No Account,Male,Critical Account,Repairs,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,< 3,Single,24.0,5507.0,44.0,None,Yes,Good,652.0,Good,0.17666666666666667,0.8233333333333335
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,Stores,Own,1,Skilled Official,< 3,Single,24.0,4020.0,27.0,None,Yes,Good,485.0,Good,0.23055555555555554,0.7694444444444445
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Unskilled Resident,< 3,Single,45.0,4746.0,24.0,None,Yes,Bad,436.0,Bad,0.8800000000000001,0.12
< 0 EU,Male,Critical Account,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,25% - 35%,Guarantor,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,36.0,5371.0,28.0,None,Yes,Good,169.0,Good,0.3,0.7
< 0 EU,Male,Existing Paid,Furniture/Equipment,Unknown,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,2996.0,20.0,None,Yes,Bad,735.0,Good,0.4188888888888889,0.581111111111111
< 0 EU,Female,Critical Account,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,6.0,609.0,37.0,None,Yes,Good,899.0,Good,0.02,0.9800000000000001
0 <= ... < 200 EU,Female,Existing Paid,Car(New),100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,15.0,2631.0,28.0,Registered,Yes,Bad,234.0,Bad,0.680952380952381,0.319047619047619
0 <= ... < 200 EU,Male,Existing Paid,Education,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,18.0,1239.0,61.0,None,Yes,Good,212.0,Good,0.3,0.7
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,< 1 Year,> 35%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,1053.0,27.0,None,No,Good,613.0,Good,0.18,0.82
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,72.0,5595.0,24.0,None,Yes,Bad,442.0,Good,0.4607142857142857,0.5392857142857144
< 0 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,< 3,Single,8.0,713.0,47.0,None,Yes,Good,598.0,Good,0.11000000000000001,0.89
0 <= ... < 200 EU,Female,All Paid,Car(New),100 <= ... < 500 EU,< 1 Year,< 20%,None,< 1 Year,Savings Agreement/Life Insurance,Stores,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,931.0,32.0,None,Yes,Bad,333.0,Bad,0.845,0.155
< 0 EU,Female,Critical Account,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,Co-Applicant,1 - 4 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,12.0,3499.0,29.0,None,Yes,Bad,700.0,Bad,0.5607142857142857,0.4392857142857142
No Account,Male,Existing Paid,Car(New),Unknown,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,24.0,2255.0,54.0,None,Yes,Good,651.0,Good,0.1,0.9
No Account,Female,Critical Account,Furniture/Equipment,>= 1000 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1592.0,35.0,None,Yes,Good,374.0,Good,0.01111111111111111,0.9888888888888889
No Account,Female,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,27.0,2570.0,21.0,None,Yes,Bad,575.0,Good,0.45,0.55
No Account,Female,Existing Paid,Radio/Television,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,Co-Applicant,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,2073.0,28.0,None,Yes,Good,618.0,Good,0.20416666666666666,0.7958333333333333
0 <= ... < 200 EU,Male,Existing Paid,Repairs,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,12.0,639.0,30.0,None,Yes,Bad,470.0,Good,0.4666666666666667,0.5333333333333334
No Account,Male,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Rent,2 or 3,Unskilled Resident,< 3,Single,7.0,730.0,46.0,Registered,Yes,Good,479.0,Good,0.1,0.9
0 <= ... < 200 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,4 - 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,4057.0,43.0,Registered,Yes,Bad,594.0,Bad,0.8464285714285715,0.15357142857142855
< 0 EU,Female,Existing Paid,Car(New),Unknown,Unemployed,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,6.0,1374.0,75.0,Registered,Yes,Good,644.0,Good,0.42773809523809525,0.5722619047619047
No Account,Female,Existing Paid,Car(Used),Unknown,Unemployed,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Highly Qualified,< 3,Divorced/Separated/Married,24.0,5433.0,26.0,Registered,Yes,Good,327.0,Good,0.20714285714285713,0.7928571428571429
< 0 EU,Male,Critical Account,Car(Used),< 100 EU,Unemployed,20% - 25%,None,> 7 Years,Unknown,None,For Free,2 or 3,Highly Qualified,< 3,Single,24.0,6615.0,75.0,Registered,Yes,Good,827.0,Good,0.075,0.925
0 <= ... < 200 EU,Male,None Taken,Car(Used),100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,Bank,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,20.0,6148.0,31.0,Registered,Yes,Good,514.0,Good,0.3333333333333333,0.6666666666666667
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Car or Other,None,Own,1,Unskilled Resident,< 3,Single,28.0,4006.0,45.0,None,Yes,Bad,314.0,Bad,0.7916666666666667,0.20833333333333334
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,18.0,2462.0,22.0,None,Yes,Bad,399.0,Bad,0.5472222222222223,0.4527777777777778
No Account,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,4 or 5,Skilled Official,< 3,Single,12.0,717.0,52.0,None,Yes,Good,669.0,Good,0.0,1.0
No Account,Male,Critical Account,Radio/Television,100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,>= 3,Single,24.0,2872.0,36.0,Registered,Yes,Good,861.0,Good,0.045,0.9550000000000001
No Account,Male,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,< 3,Single,6.0,700.0,36.0,None,Yes,Good,225.0,Good,0.05,0.95
No Account,Male,Delay Paid,Repairs,>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,>= 3,Single,12.0,1555.0,55.0,None,Yes,Bad,794.0,Bad,0.5064285714285715,0.4935714285714285
No Account,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,6.0,1740.0,30.0,None,Yes,Good,556.0,Good,0.0,1.0
No Account,Male,Existing Paid,Radio/Television,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Car or Other,Stores,Own,1,Skilled Official,< 3,Single,48.0,10222.0,37.0,Registered,Yes,Good,255.0,Good,0.025,0.975
